Epoch | Train GAUSSIAN_NLL | Val GAUSSIAN_NLL | Patience | LR
  1/50 | -1.534871 | -2.177372 | 0/12 | 5.00e-04
  2/50 | -1.904231 | -2.495920 | 0/12 | 5.00e-04
  3/50 | -2.025712 | -2.516953 | 0/12 | 5.00e-04
  4/50 | -2.101704 | -2.473838 | 1/12 | 5.00e-04
  5/50 | -2.146329 | -2.570396 | 0/12 | 5.00e-04
  6/50 | -2.177750 | -2.552597 | 1/12 | 5.00e-04
  7/50 | -2.208978 | -2.625948 | 0/12 | 5.00e-04
  8/50 | -2.251571 | -2.655318 | 0/12 | 5.00e-04
  9/50 | -2.298740 | -2.722922 | 0/12 | 5.00e-04
 10/50 | -2.324767 | -2.722045 | 1/12 | 5.00e-04
 11/50 | -2.351527 | -2.729172 | 0/12 | 5.00e-04
 12/50 | -2.377249 | -2.730713 | 0/12 | 5.00e-04
 13/50 | -2.406844 | -2.816249 | 0/12 | 5.00e-04
 14/50 | -2.412616 | -2.792215 | 1/12 | 5.00e-04
 15/50 | -2.441788 | -2.751723 | 2/12 | 5.00e-04
 16/50 | -2.465834 | -2.847243 | 0/12 | 5.00e-04
 17/50 | -2.500332 | -2.905913 | 0/12 | 5.00e-04
 18/50 | -2.533157 | -2.921641 | 0/12 | 5.00e-04
 19/50 | -2.540399 | -2.887281 | 1/12 | 5.00e-04
 20/50 | -2.565446 | -2.990540 | 0/12 | 5.00e-04
 21/50 | -2.590274 | -2.960201 | 1/12 | 5.00e-04
 22/50 | -2.600203 | -3.020088 | 0/12 | 5.00e-04
 23/50 | -2.616599 | -2.964942 | 1/12 | 5.00e-04
 24/50 | -2.630504 | -2.968712 | 2/12 | 5.00e-04
 25/50 | -2.644568 | -3.023955 | 0/12 | 5.00e-04
 26/50 | -2.656758 | -3.062825 | 0/12 | 5.00e-04
 27/50 | -2.668115 | -3.046470 | 1/12 | 5.00e-04
 28/50 | -2.683307 | -3.080659 | 0/12 | 5.00e-04
 29/50 | -2.691807 | -3.052170 | 1/12 | 5.00e-04
 30/50 | -2.698462 | -3.090136 | 0/12 | 5.00e-04
 31/50 | -2.703718 | -3.107932 | 0/12 | 5.00e-04
 32/50 | -2.717024 | -3.098126 | 1/12 | 5.00e-04
 33/50 | -2.719262 | -3.106750 | 2/12 | 5.00e-04
 34/50 | -2.722669 | -3.133139 | 0/12 | 5.00e-04
 35/50 | -2.731032 | -3.091872 | 1/12 | 5.00e-04
 36/50 | -2.733742 | -3.139316 | 0/12 | 5.00e-04
 37/50 | -2.736135 | -3.126053 | 1/12 | 5.00e-04
 38/50 | -2.744199 | -3.116320 | 2/12 | 5.00e-04
 39/50 | -2.749249 | -3.156131 | 0/12 | 5.00e-04
 40/50 | -2.762442 | -3.158610 | 0/12 | 5.00e-04
 41/50 | -2.762683 | -3.149025 | 1/12 | 5.00e-04
 42/50 | -2.771573 | -3.163857 | 0/12 | 5.00e-04
 43/50 | -2.768734 | -3.156837 | 1/12 | 5.00e-04
 44/50 | -2.775541 | -3.188412 | 0/12 | 5.00e-04
 45/50 | -2.784117 | -3.214120 | 0/12 | 5.00e-04
 46/50 | -2.787425 | -3.172034 | 1/12 | 5.00e-04
 47/50 | -2.790755 | -3.169859 | 2/12 | 5.00e-04
 48/50 | -2.789904 | -3.163707 | 3/12 | 5.00e-04
 49/50 | -2.792790 | -3.163791 | 4/12 | 5.00e-04
 50/50 | -2.799726 | -3.160256 | 5/12 | 5.00e-04
