Epoch | Train MSE | Val MSE | Patience | LR
  1/50 | 0.016735 | 0.001677 | 0/12 | 5.00e-04
  2/50 | 0.006625 | 0.001778 | 1/12 | 5.00e-04
  3/50 | 0.005061 | 0.000846 | 0/12 | 5.00e-04
  4/50 | 0.004621 | 0.001489 | 1/12 | 5.00e-04
  5/50 | 0.004665 | 0.000999 | 2/12 | 5.00e-04
  6/50 | 0.004572 | 0.000878 | 3/12 | 5.00e-04
  7/50 | 0.004531 | 0.000903 | 4/12 | 5.00e-04
  8/50 | 0.004537 | 0.000821 | 0/12 | 5.00e-04
  9/50 | 0.004460 | 0.001074 | 1/12 | 5.00e-04
 10/50 | 0.004277 | 0.000615 | 0/12 | 5.00e-04
 11/50 | 0.004202 | 0.000852 | 1/12 | 5.00e-04
 12/50 | 0.004137 | 0.001253 | 2/12 | 5.00e-04
 13/50 | 0.004139 | 0.000891 | 3/12 | 5.00e-04
 14/50 | 0.004089 | 0.000739 | 4/12 | 5.00e-04
 15/50 | 0.004130 | 0.000788 | 5/12 | 5.00e-04
 16/50 | 0.004036 | 0.000711 | 6/12 | 2.50e-04
 17/50 | 0.004003 | 0.000919 | 7/12 | 2.50e-04
 18/50 | 0.003966 | 0.000692 | 8/12 | 2.50e-04
 19/50 | 0.003982 | 0.000671 | 9/12 | 2.50e-04
 20/50 | 0.004002 | 0.000806 | 10/12 | 2.50e-04
 21/50 | 0.003984 | 0.000729 | 11/12 | 2.50e-04
 22/50 | 0.004007 | 0.000794 | 12/12 | 1.25e-04
