Epoch | Train GAUSSIAN_NLL | Val GAUSSIAN_NLL | Patience | LR
  1/50 | -1.501644 | -1.878726 | 0/12 | 5.00e-04
  2/50 | -1.859595 | -2.103898 | 0/12 | 5.00e-04
  3/50 | -2.014482 | -2.371528 | 0/12 | 5.00e-04
  4/50 | -2.111023 | -2.348477 | 1/12 | 5.00e-04
  5/50 | -2.175560 | -2.441927 | 0/12 | 5.00e-04
  6/50 | -2.223208 | -2.557979 | 0/12 | 5.00e-04
  7/50 | -2.253230 | -2.593904 | 0/12 | 5.00e-04
  8/50 | -2.279670 | -2.692336 | 0/12 | 5.00e-04
  9/50 | -2.316057 | -2.667671 | 1/12 | 5.00e-04
 10/50 | -2.323582 | -2.620567 | 2/12 | 5.00e-04
 11/50 | -2.344016 | -2.680103 | 3/12 | 5.00e-04
 12/50 | -2.370217 | -2.790225 | 0/12 | 5.00e-04
 13/50 | -2.378393 | -2.668058 | 1/12 | 5.00e-04
 14/50 | -2.416147 | -2.631829 | 2/12 | 5.00e-04
 15/50 | -2.412239 | -2.627094 | 3/12 | 5.00e-04
 16/50 | -2.429531 | -2.826640 | 0/12 | 5.00e-04
 17/50 | -2.445480 | -2.709081 | 1/12 | 5.00e-04
 18/50 | -2.469907 | -2.849289 | 0/12 | 5.00e-04
 19/50 | -2.470430 | -2.808906 | 1/12 | 5.00e-04
 20/50 | -2.495530 | -2.835580 | 2/12 | 5.00e-04
 21/50 | -2.520025 | -2.876772 | 0/12 | 5.00e-04
 22/50 | -2.509979 | -2.857966 | 1/12 | 5.00e-04
 23/50 | -2.527213 | -2.936099 | 0/12 | 5.00e-04
 24/50 | -2.527330 | -2.759803 | 1/12 | 5.00e-04
 25/50 | -2.546342 | -2.921688 | 2/12 | 5.00e-04
 26/50 | -2.543697 | -2.958052 | 0/12 | 5.00e-04
 27/50 | -2.566424 | -2.987213 | 0/12 | 5.00e-04
 28/50 | -2.571365 | -2.947760 | 1/12 | 5.00e-04
 29/50 | -2.575361 | -3.006406 | 0/12 | 5.00e-04
 30/50 | -2.587856 | -3.039860 | 0/12 | 5.00e-04
 31/50 | -2.607637 | -3.025312 | 1/12 | 5.00e-04
 32/50 | -2.624558 | -3.040715 | 0/12 | 5.00e-04
 33/50 | -2.634656 | -3.025158 | 1/12 | 5.00e-04
 34/50 | -2.637757 | -3.107794 | 0/12 | 5.00e-04
 35/50 | -2.659541 | -3.041812 | 1/12 | 5.00e-04
 36/50 | -2.666083 | -3.100697 | 2/12 | 5.00e-04
 37/50 | -2.681227 | -3.094506 | 3/12 | 5.00e-04
 38/50 | -2.688507 | -3.041859 | 4/12 | 5.00e-04
 39/50 | -2.695951 | -3.048917 | 5/12 | 5.00e-04
 40/50 | -2.700505 | -3.093154 | 6/12 | 2.50e-04
 41/50 | -2.737138 | -3.143919 | 0/12 | 2.50e-04
 42/50 | -2.734537 | -3.147044 | 0/12 | 2.50e-04
 43/50 | -2.738223 | -3.163749 | 0/12 | 2.50e-04
 44/50 | -2.757750 | -3.133673 | 1/12 | 2.50e-04
 45/50 | -2.753683 | -3.212580 | 0/12 | 2.50e-04
 46/50 | -2.765096 | -3.131190 | 1/12 | 2.50e-04
 47/50 | -2.776199 | -3.162658 | 2/12 | 2.50e-04
 48/50 | -2.763352 | -3.158935 | 3/12 | 2.50e-04
 49/50 | -2.773673 | -3.182492 | 4/12 | 2.50e-04
 50/50 | -2.772987 | -3.170231 | 5/12 | 2.50e-04
