Epoch | Train GAUSSIAN_NLL | Val GAUSSIAN_NLL | Patience | LR
  1/50 | -1.273095 | -2.188396 | 0/12 | 5.00e-04
  2/50 | -1.883639 | -2.349537 | 0/12 | 5.00e-04
  3/50 | -2.047649 | -2.613016 | 0/12 | 5.00e-04
  4/50 | -2.169312 | -2.762266 | 0/12 | 5.00e-04
  5/50 | -2.227204 | -2.682130 | 1/12 | 5.00e-04
  6/50 | -2.271138 | -2.771927 | 0/12 | 5.00e-04
  7/50 | -2.330686 | -2.850123 | 0/12 | 5.00e-04
  8/50 | -2.356638 | -2.864462 | 0/12 | 5.00e-04
  9/50 | -2.399252 | -2.839924 | 1/12 | 5.00e-04
 10/50 | -2.436861 | -2.906319 | 0/12 | 5.00e-04
 11/50 | -2.444882 | -2.918079 | 0/12 | 5.00e-04
 12/50 | -2.476343 | -3.028550 | 0/12 | 5.00e-04
 13/50 | -2.498460 | -2.904253 | 1/12 | 5.00e-04
 14/50 | -2.523363 | -3.005369 | 2/12 | 5.00e-04
 15/50 | -2.532791 | -3.025337 | 3/12 | 5.00e-04
 16/50 | -2.546484 | -3.016393 | 4/12 | 5.00e-04
 17/50 | -2.571024 | -2.994963 | 5/12 | 5.00e-04
 18/50 | -2.584083 | -3.093425 | 0/12 | 5.00e-04
 19/50 | -2.600557 | -3.078987 | 1/12 | 5.00e-04
 20/50 | -2.606097 | -3.115433 | 0/12 | 5.00e-04
 21/50 | -2.622004 | -3.080432 | 1/12 | 5.00e-04
 22/50 | -2.630912 | -3.110218 | 2/12 | 5.00e-04
 23/50 | -2.649625 | -3.117269 | 0/12 | 5.00e-04
 24/50 | -2.679730 | -3.159386 | 0/12 | 5.00e-04
 25/50 | -2.678525 | -3.127455 | 1/12 | 5.00e-04
 26/50 | -2.700788 | -3.115233 | 2/12 | 5.00e-04
 27/50 | -2.709542 | -3.145547 | 3/12 | 5.00e-04
 28/50 | -2.712947 | -3.165580 | 0/12 | 5.00e-04
 29/50 | -2.728490 | -3.219517 | 0/12 | 5.00e-04
 30/50 | -2.736496 | -3.202251 | 1/12 | 5.00e-04
 31/50 | -2.745494 | -3.193655 | 2/12 | 5.00e-04
 32/50 | -2.748296 | -3.227531 | 0/12 | 5.00e-04
 33/50 | -2.751624 | -3.211485 | 1/12 | 5.00e-04
 34/50 | -2.764700 | -3.232070 | 0/12 | 5.00e-04
 35/50 | -2.767933 | -3.192803 | 1/12 | 5.00e-04
 36/50 | -2.775590 | -3.242148 | 0/12 | 5.00e-04
 37/50 | -2.784936 | -3.217570 | 1/12 | 5.00e-04
 38/50 | -2.790245 | -3.214383 | 2/12 | 5.00e-04
 39/50 | -2.790747 | -3.265367 | 0/12 | 5.00e-04
 40/50 | -2.796254 | -3.245931 | 1/12 | 5.00e-04
 41/50 | -2.805134 | -3.283466 | 0/12 | 5.00e-04
 42/50 | -2.802957 | -3.292848 | 0/12 | 5.00e-04
 43/50 | -2.810962 | -3.246046 | 1/12 | 5.00e-04
 44/50 | -2.810513 | -3.261240 | 2/12 | 5.00e-04
 45/50 | -2.818585 | -3.221474 | 3/12 | 5.00e-04
 46/50 | -2.815359 | -3.236167 | 4/12 | 5.00e-04
 47/50 | -2.823386 | -3.255895 | 5/12 | 5.00e-04
 48/50 | -2.822696 | -3.263530 | 6/12 | 2.50e-04
 49/50 | -2.830817 | -3.263217 | 7/12 | 2.50e-04
 50/50 | -2.842326 | -3.265112 | 8/12 | 2.50e-04
