Epoch | Train GAUSSIAN_NLL | Val GAUSSIAN_NLL | Patience | LR
  1/50 | -1.508344 | -2.482305 | 0/12 | 5.00e-04
  2/50 | -2.008734 | -2.641678 | 0/12 | 5.00e-04
  3/50 | -2.120482 | -2.512854 | 1/12 | 5.00e-04
  4/50 | -2.205493 | -2.769521 | 0/12 | 5.00e-04
  5/50 | -2.251152 | -2.751540 | 1/12 | 5.00e-04
  6/50 | -2.292298 | -2.777203 | 0/12 | 5.00e-04
  7/50 | -2.330729 | -2.783954 | 0/12 | 5.00e-04
  8/50 | -2.362489 | -2.924175 | 0/12 | 5.00e-04
  9/50 | -2.398381 | -2.902898 | 1/12 | 5.00e-04
 10/50 | -2.436515 | -2.941136 | 0/12 | 5.00e-04
 11/50 | -2.469600 | -2.910268 | 1/12 | 5.00e-04
 12/50 | -2.475625 | -2.894963 | 2/12 | 5.00e-04
 13/50 | -2.507165 | -2.963315 | 0/12 | 5.00e-04
 14/50 | -2.522780 | -3.025502 | 0/12 | 5.00e-04
 15/50 | -2.564895 | -3.101573 | 0/12 | 5.00e-04
 16/50 | -2.569415 | -3.053028 | 1/12 | 5.00e-04
 17/50 | -2.587214 | -3.059443 | 2/12 | 5.00e-04
 18/50 | -2.597050 | -3.040602 | 3/12 | 5.00e-04
 19/50 | -2.611782 | -3.105446 | 0/12 | 5.00e-04
 20/50 | -2.632345 | -3.099111 | 1/12 | 5.00e-04
 21/50 | -2.644543 | -3.105535 | 0/12 | 5.00e-04
 22/50 | -2.658689 | -3.081612 | 1/12 | 5.00e-04
 23/50 | -2.671581 | -3.168829 | 0/12 | 5.00e-04
 24/50 | -2.682625 | -3.148675 | 1/12 | 5.00e-04
 25/50 | -2.694031 | -3.203812 | 0/12 | 5.00e-04
 26/50 | -2.705534 | -3.146735 | 1/12 | 5.00e-04
 27/50 | -2.709613 | -3.212280 | 0/12 | 5.00e-04
 28/50 | -2.722489 | -3.162370 | 1/12 | 5.00e-04
 29/50 | -2.732577 | -3.232669 | 0/12 | 5.00e-04
 30/50 | -2.737170 | -3.180270 | 1/12 | 5.00e-04
 31/50 | -2.749330 | -3.221915 | 2/12 | 5.00e-04
 32/50 | -2.747175 | -3.218052 | 3/12 | 5.00e-04
 33/50 | -2.761369 | -3.254161 | 0/12 | 5.00e-04
 34/50 | -2.764307 | -3.239316 | 1/12 | 5.00e-04
 35/50 | -2.769344 | -3.272600 | 0/12 | 5.00e-04
 36/50 | -2.781850 | -3.219524 | 1/12 | 5.00e-04
 37/50 | -2.776834 | -3.244127 | 2/12 | 5.00e-04
 38/50 | -2.780908 | -3.241267 | 3/12 | 5.00e-04
 39/50 | -2.789347 | -3.308165 | 0/12 | 5.00e-04
 40/50 | -2.789750 | -3.274512 | 1/12 | 5.00e-04
 41/50 | -2.799625 | -3.274097 | 2/12 | 5.00e-04
 42/50 | -2.796866 | -3.230294 | 3/12 | 5.00e-04
 43/50 | -2.808048 | -3.279461 | 4/12 | 5.00e-04
 44/50 | -2.808071 | -3.286099 | 5/12 | 5.00e-04
 45/50 | -2.808475 | -3.201229 | 6/12 | 2.50e-04
 46/50 | -2.830562 | -3.278943 | 7/12 | 2.50e-04
 47/50 | -2.831133 | -3.299850 | 8/12 | 2.50e-04
 48/50 | -2.834019 | -3.303459 | 9/12 | 2.50e-04
 49/50 | -2.834201 | -3.287534 | 10/12 | 2.50e-04
 50/50 | -2.837000 | -3.287182 | 11/12 | 2.50e-04
